state,timestamp,voltage,ambientTemperature,ambientPressure,pressureAltitude,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ,estAngularRateX,estAngularRateY,estAngularRateZ,magneticFieldX,magneticFieldY,magneticFieldZ,estOrientQuaternionW,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,gpsLatitude,gpsLongitude,gpsAltitude,current_altitude,vertical_velocity,vertical_acceleration
S,8.9988,3.3,22,1015,-76.2785,-9.8002,-0.2013,-0.224,-0.001,0.0006,0.0017,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.2785,-0.1955,0.0038,9.8039
S,28.9964,3.3,22,1015,-76.3218,-9.7991,-0.1971,-0.239,-0.0007,-0.0004,0,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.3218,-0.2389,0.0038,9.803
S,48.9908,3.3,22,1015,-76.4951,-9.7955,-0.2004,-0.2444,-0.0004,0.0007,-0.0002,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.4951,-0.4122,0.0038,9.7996
S,68.9793,3.3,22,1015,-76.5179,-9.8032,-0.1965,-0.234,-0.0014,-0.001,0.0001,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.5179,-0.4349,0.0038,9.807
S,88.9695,3.3,22,1015,-76.7224,-9.7976,-0.1938,-0.2389,-0.0017,0,-0.0011,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.7224,-0.6394,0.0038,9.8014
S,108.9604,3.3,22,1015,-76.706,-9.8001,-0.1906,-0.2343,0.0009,-0.0003,0,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.706,-0.6231,0.0038,9.8036
S,128.9509,3.3,22,1015,-76.5586,-9.7823,-0.1976,-0.2374,-0.0001,-0.0001,-0.0004,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.5586,-0.4756,0.0038,9.7861
S,148.9404,3.3,22,1015,-76.5586,-9.7896,-0.1964,-0.2395,-0.0001,0.0001,0.0007,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.5586,-0.4756,0.0038,9.7934
S,168.9262,3.3,22,1015,-76.6326,-9.7917,-0.2016,-0.222,0.0003,-0.0007,-0.0008,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.6326,-0.5496,0.0038,9.7955
S,188.9062,3.3,22,1015,-76.6326,-9.7993,-0.1928,-0.2336,0.0004,0.0001,-0.0003,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.6326,-0.5496,0.0038,9.8029
S,208.8974,3.3,22,1015,-76.6431,-9.7924,-0.2006,-0.2321,0.0009,-0.0005,0.0004,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.6431,-0.5602,0.0038,9.7962
S,228.9165,3.3,22,1015,-76.6431,-9.7838,-0.1874,-0.2404,-0.0003,-0.0006,-0.0006,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.6431,-0.5602,0.0038,9.7873
S,248.9364,3.3,22,1015,-76.3863,-9.7953,-0.1912,-0.2326,0.0004,-0.0005,0.0005,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.3863,-0.3033,0.0038,9.7988
S,268.9562,3.3,22,1015,-76.3577,-9.7977,-0.1995,-0.2261,-0.0004,-0.0006,-0.0005,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.3577,-0.2748,0.0038,9.8014
S,288.9705,3.3,22,1015,-77.0141,-9.7996,-0.1977,-0.2463,-0.0002,-0.0004,0.0003,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.0141,-0.9312,0.0038,9.8036
S,308.979,3.3,22,1015,-77.087,-9.7902,-0.1806,-0.2351,-0.0001,-0.0001,0.0008,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.087,-1.0041,0.0038,9.7935
S,328.9985,3.3,22,1015,-77.0786,-9.8032,-0.2031,-0.2363,-0.0002,0,0,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.0786,-0.9956,0.0038,9.8072
S,349.0022,3.3,22,1015,-77.0765,-9.7893,-0.1992,-0.2242,0.0011,0.001,-0.0006,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.0765,-0.9935,0.0038,9.793
S,369.0088,3.3,22,1015,-76.8989,-9.7904,-0.1903,-0.2331,0.0001,-0.0001,-0.0006,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.8989,-0.816,0.0038,9.7939
S,389.0162,3.3,22,1015,-76.8545,-9.7969,-0.1943,-0.2409,0,-0.0007,-0.0005,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.8545,-0.7716,0.0038,9.8007
S,409.0149,3.3,22,1015,-76.9618,-9.7917,-0.1984,-0.2355,0.0006,-0.0007,0.0006,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.9618,-0.8788,0.0038,9.7955
S,429.0072,3.3,22,1015,-77.0078,-9.7989,-0.2035,-0.2274,-0.0015,0.0007,-0.001,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.0078,-0.9248,0.0038,9.8028
S,448.9966,3.3,22,1015,-77.0743,-9.796,-0.191,-0.2393,-0.0009,0.0005,-0.0009,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.0743,-0.9914,0.0038,9.7997
S,468.9857,3.3,22,1015,-77.1029,-9.7954,-0.1948,-0.2329,-0.0008,0.0008,-0.0002,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.1029,-1.0199,0.0038,9.7991
S,488.9742,3.3,22,1015,-76.9729,-9.795,-0.1966,-0.2397,0.0008,0.0002,-0.0003,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.9729,-0.8899,0.0038,9.7989
S,508.964,3.3,22,1015,-76.8862,-9.7964,-0.1934,-0.2341,0.0009,-0.0003,-0.0006,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.8862,-0.8033,0.0038,9.8001
S,528.9532,3.3,22,1015,-76.6611,-9.7794,-0.1943,-0.2299,0.0017,-0.0003,0.0005,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.6611,-0.5781,0.0038,9.783
S,548.9403,3.3,22,1015,-76.511,-9.7987,-0.1976,-0.2178,-0.0002,0.0008,-0.0004,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.511,-0.4281,0.0038,9.8022
S,568.9218,3.3,22,1015,-76.6141,-9.7941,-0.1872,-0.2403,-0.0013,-0.0001,-0.0005,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.6141,-0.5311,0.0038,9.7976
S,588.9028,3.3,22,1015,-76.7171,-9.8005,-0.1921,-0.2385,-0.0002,0.0002,-0.0005,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.7171,-0.6342,0.0038,9.8042
S,608.911,3.3,22,1015,-77.0051,-9.7983,-0.191,-0.2246,-0.001,0.0001,-0.0011,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.0051,-0.9222,0.0038,9.8017
S,628.9266,3.3,22,1015,-77.2931,-9.8022,-0.1969,-0.2361,0.0001,-0.0001,0.0011,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.2931,-1.2102,0.0038,9.806
S,648.9415,3.3,22,1015,-77.1726,-9.7831,-0.1982,-0.2412,-0.0006,0.0002,0.0013,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.1726,-1.0897,0.0038,9.787
S,668.9569,3.3,22,1015,-76.9919,-9.7955,-0.1947,-0.2268,-0.0006,0.0011,0.0001,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.9919,-0.909,0.0038,9.799
S,688.9635,3.3,22,1015,-76.9982,-9.7977,-0.2027,-0.2419,0.0009,-0.0004,-0.0005,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.9982,-0.9153,0.0038,9.8018
S,708.9707,3.3,22,1015,-77.0078,-9.789,-0.2034,-0.2304,-0.0003,0.0014,0.0009,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.0078,-0.9248,0.0038,9.7929
S,728.9785,3.3,22,1015,-77.0014,-9.7952,-0.1889,-0.234,0.0009,-0.0015,-0.0003,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.0014,-0.9185,0.0038,9.7987
S,748.9794,3.3,22,1015,-76.9866,-9.794,-0.19,-0.2329,-0.0008,0.0004,0.0002,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.9866,-0.9037,0.0038,9.7976
S,768.9806,3.3,22,1015,-76.9977,-9.8014,-0.1914,-0.2373,-0.0003,-0.0001,0.0003,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.9977,-0.9148,0.0038,9.805
S,788.982,3.3,22,1015,-77.0236,-9.8,-0.2017,-0.2371,0.0007,-0.0005,-0.0007,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.0236,-0.9407,0.0038,9.804
S,808.9801,3.3,22,1015,-76.9866,-9.7908,-0.197,-0.2407,0.0003,0.0002,0.001,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.9866,-0.9037,0.0038,9.7947
S,828.9722,3.3,22,1015,-76.8387,-9.7935,-0.1957,-0.2283,0.0004,0.0015,-0.0004,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.8387,-0.7557,0.0038,9.7972
S,848.963,3.3,22,1015,-76.8133,-9.7941,-0.1993,-0.2471,0.0006,-0.0002,-0.0001,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.8133,-0.7303,0.0038,9.7981
S,868.9506,3.3,22,1015,-76.7118,-9.7969,-0.2023,-0.2194,0.0005,0.0009,-0.0005,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.7118,-0.6289,0.0038,9.8007
S,888.9409,3.3,22,1015,-76.7456,-9.7902,-0.1929,-0.2337,0.0004,0.0001,-0.0003,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.7456,-0.6627,0.0038,9.7939
S,908.9319,3.3,22,1015,-77.05,-9.7977,-0.1992,-0.2371,0,0.001,0.0004,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.05,-0.9671,0.0038,9.8015
S,928.919,3.3,22,1015,-77.0215,-9.8011,-0.1905,-0.2418,0.0003,-0.0004,0.0007,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.0215,-0.9386,0.0038,9.8048
S,948.9011,3.3,22,1015,-76.7647,-9.7902,-0.1899,-0.2346,0.0012,-0.0003,-0.0001,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.7647,-0.6817,0.0038,9.7938
S,968.8844,3.3,22,1015,-76.7647,-9.7903,-0.2023,-0.2321,-0.0009,-0.0011,-0.0009,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.7647,-0.6817,0.0038,9.7942
S,988.8975,3.3,22,1015,-76.5639,-9.8051,-0.213,-0.2252,-0.0009,-0.0002,-0.0003,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.5639,-0.4809,0.0038,9.8092
S,1008.9228,3.3,22,1015,-76.5639,-9.788,-0.2001,-0.2451,-0.0002,0.0002,-0.0004,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.5639,-0.4809,0.0038,9.7921
S,1028.9424,3.3,22,1015,-76.9496,-9.7869,-0.1899,-0.2401,-0.0004,-0.0006,-0.0005,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.9496,-0.8667,0.0038,9.7905
S,1048.9588,3.3,22,1015,-76.9496,-9.7895,-0.2014,-0.2411,0.0003,0.0008,0,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.9496,-0.8667,0.0038,9.7936
S,1068.9743,3.3,22,1015,-77.197,-9.7951,-0.202,-0.2303,0.0009,-0.0011,0.0018,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.197,-1.114,0.0038,9.799
S,1088.9814,3.3,22,1015,-77.2244,-9.801,-0.1949,-0.2314,-0.0004,0,0.0009,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-77.2244,-1.1415,0.0038,9.8046
S,1108.99,3.3,22,1015,-76.8011,-9.792,-0.2013,-0.2333,-0.0005,0.0005,-0.0004,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.8011,-0.7182,0.0038,9.7959
S,1128.9955,3.3,22,1015,-76.7541,-9.7893,-0.1959,-0.2289,-0.0002,0.0001,-0.0003,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.7541,-0.6712,0.0038,9.793
S,1148.9997,3.3,22,1015,-76.6526,-9.7869,-0.194,-0.2442,-0.0007,0.0009,-0.0008,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.6526,-0.5697,0.0038,9.7907
S,1169.0022,3.3,22,1015,-76.6273,-9.7897,-0.1989,-0.2334,-0.0005,-0.0002,-0.0003,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.6273,-0.5443,0.0038,9.7935
S,1189.0038,3.3,22,1015,-76.6188,-9.7942,-0.192,-0.2365,0,-0.001,0.0001,5.55,5.55,5.55,0.6475,0.31,-0.6261,0.3043,0,0,-76.6188,-0.5359,0.0038,9.7979
