Time,Voltage(V),Battery_Status(%),Temperature(C),Pressure(Pa),GPS_Altitude(m),Arduino_Altitude(m),Calculated_Altitude(m),Accel_X(m/s^2),Accel_Y(m/s^2),Accel_Z(m/s^2),Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Quat_I,Quat_J,Quat_K,Quat_Real,Latitude,Longitude
16:43:54,2.670968,87,23.17854,1016.347,0.321,-25.75401,63839.470527565034,9.777344,0.21875,-0.101563,0,0,0,-40.5,-22.4375,-2.125,-0.710999,-0.020996,-0.702881,0.005432,35.1758031,-76.8283524
16:43:55,2.674194,88,23.16598,1016.345,0.329,-25.73194,63836.80563542537,9.773438,0.21875,-0.140625,0,0,0,-40.5,-22.4375,-2.125,-0.71106,-0.015564,-0.702942,0.000122,35.1758032,-76.8283525
16:43:56,2.641936,86,23.16712,1016.344,0.345,-25.72993,63837.07171561303,9.777344,0.21875,-0.101563,0.001953,0,0.001953,-38.9375,-22.6875,1.8125,0.711243,0.007813,0.702881,0.007568,35.1758034,-76.8283525
16:43:57,2.654839,87,23.16341,1016.345,0.365,-25.73796,63836.25196771402,9.773438,0.21875,-0.140625,-0.001953,-0.001953,-0.001953,-38.9375,-22.6875,1.8125,0.711243,0.007813,0.702881,0.007568,35.1758035,-76.8283524
16:43:58,2.654839,87,23.1774,1016.347,0.36,-25.74899,63839.224931928504,9.734375,0.179688,-0.0625,0,0,0,-40.0625,-22,1.3125,0.711121,0.009094,0.703003,0.006287,35.1758037,-76.8283524
16:43:59,2.622581,85,23.17568,1016.347,0.347,-25.752,63838.85438412603,9.734375,0.21875,-0.140625,0,0,0,-40.0625,-22,1.3125,0.711121,0.009094,0.703003,0.006287,35.1758039,-76.8283523
16:44:00,2.619355,85,23.18368,1016.346,0.353,-25.74397,63840.59834776741,9.734375,0.179688,-0.101563,0.001953,0,-0.001953,-39.6875,-22.375,0.4375,0.711243,0.005737,0.702881,0.009583,35.1758041,-76.8283524
16:44:01,2.629032,85,23.17426,1016.346,0.33,-25.74698,63838.56895159336,9.816406,0.179688,-0.101563,-0.003906,0,-0.001953,-40.4375,-22.6875,0.875,0.711182,0.001587,0.70282,0.013733,35.1758042,-76.8283526
16:44:02,2.609677,84,23.19681,1016.347,0.336,-25.76103,63843.40652079249,9.734375,0.21875,-0.140625,0,-0.001953,-0.001953,-39.75,-22.6875,-1.6875,0.711182,0.000366,0.702881,0.014954,35.1758044,-76.8283527
16:44:03,2.632258,85,23.19738,1016.348,0.343,-25.75802,63843.508832197316,9.816406,0.21875,-0.140625,0,0,0,-40.375,-23.75,1.6875,0.711182,-0.00116,0.70282,0.016418,35.1758046,-76.8283528
16:44:04,2.63871,86,23.21079,1016.348,0.327,-25.75902,63846.39781152096,9.773438,0.140625,-0.101563,0,0,0,-40.0625,-22.375,0.4375,0.711182,-0.000305,0.70282,0.015686,35.1758049,-76.8283528
16:44:05,2.635484,86,23.20338,1016.346,0.318,-25.74498,63844.842414076214,9.777344,0.21875,-0.101563,0,0,0,-40.8125,-22.0625,-1.25,0.711304,-0.00177,0.702698,0.01709,35.1758051,-76.8283531
16:44:06,2.593548,83,23.21136,1016.346,0.356,-25.74096,63846.561584083545,9.8125,0.179688,-0.179688,0,0,0,-40.125,-22.75,-1.25,0.71106,-0.013672,0.702393,0.028748,35.1758052,-76.828353
16:44:07,2.641936,86,23.22793,1016.349,0.364,-25.76905,63850.06987377336,9.773438,0.257813,-0.140625,0,0.005859,0,-40.0625,-22.75,0,0.710876,-0.016846,0.702393,0.031799,35.1758053,-76.828353
16:44:09,2.603226,84,23.21793,1016.349,0.343,-25.77206,63847.91552746715,9.777344,0.21875,-0.101563,0,0,0,-40.4375,-22.375,-0.875,0.710876,-0.016418,0.702454,0.031311,35.1758055,-76.8283533
16:44:10,2.632258,85,23.22421,1016.348,0.333,-25.75802,63849.28894519162,9.738281,0.21875,-0.0625,0,0,0,-40.125,-22.375,-1.25,0.710876,-0.014648,0.702515,0.029602,35.1758057,-76.8283535
16:44:11,2.622581,85,23.22421,1016.345,0.331,-25.73996,63849.35041006813,9.777344,0.21875,-0.0625,0,0,0,-40.125,-22.375,-1.25,0.710876,-0.014648,0.702515,0.029602,35.1758058,-76.8283535
16:44:12,2.63871,86,23.22535,1016.347,0.346,-25.75501,63849.55502909632,9.777344,0.21875,-0.0625,-0.003906,0,-0.001953,-40.125,-22.375,-1.25,0.710876,-0.014648,0.702515,0.029602,35.1758058,-76.8283535
16:44:13,2.648387,86,23.2205,1016.348,0.337,-25.75902,63848.489682455554,9.777344,0.21875,-0.101563,-0.025391,-0.001953,0,-39.75,-22.75,-0.8125,0.710938,-0.010986,0.702698,0.02594,35.1758058,-76.8283534
16:44:14,2.687097,88,23.22849,1016.348,0.349,-25.75802,63850.211005706566,9.773438,0.140625,-0.101563,0,-0.001953,0,-40.0625,-23.75,0,0.710999,-0.010071,0.702637,0.024963,35.1758058,-76.8283533
16:44:15,2.690323,88,23.21507,1016.347,0.348,-25.75401,63847.34035967224,9.777344,0.21875,-0.0625,0.007813,0,0,-40.0625,-23.75,0,0.710999,-0.009949,0.702698,0.024963,35.1758059,-76.8283534
16:44:16,2.63871,86,23.22507,1016.349,0.36,-25.77006,63849.45373072978,9.777344,0.257813,-0.101563,0.003906,-0.001953,0,-39.3125,-23,2.6875,0.710999,-0.010193,0.702698,0.025024,35.1758059,-76.8283535
16:44:17,2.648387,86,23.22478,1016.349,0.347,-25.76705,63849.3912546869,9.816406,0.410156,-0.179688,0.017578,-0.003906,-0.001953,-40.5,-22.75,-1.75,0.710999,-0.008972,0.702698,0.023804,35.1758059,-76.8283537
16:44:18,2.619355,85,23.22992,1016.35,0.372,-25.77708,63850.47810007337,9.738281,0.105469,-0.140625,0.017578,-0.003906,-0.001953,-40.5,-22.75,-1.75,0.710999,-0.008972,0.702698,0.023804,35.1758058,-76.8283538
16:44:19,2.635484,86,23.23621,1016.341,0.323,-25.70686,63852.017585776666,7.863281,0.027344,0.242188,0.15625,0.007813,0.007813,-39.375,-22.375,-0.375,0.710449,-0.011841,0.703125,0.026794,35.1758055,-76.8283538
16:44:20,2.664516,87,23.22992,1016.337,0.329,-25.67074,63850.74445393886,9.8125,1.484375,-0.484375,0.373047,-0.003906,0,-39.375,-22.375,-0.375,0.710449,-0.011841,0.703125,0.026794,35.1758056,-76.8283537
16:44:21,2.645161,86,23.23306,1016.34,0.352,-25.69582,63851.35945399606,9.660156,-0.011719,0.089844,0.013672,-0.007813,0.005859,-40.125,-22.0625,-1.6875,0.710938,-0.024902,0.70166,0.040039,35.1758058,-76.8283534
16:44:23,2.658065,87,23.23649,1016.342,0.448,-25.70987,63852.057418367025,9.734375,0.296875,-0.101563,-0.007813,0,-0.005859,-40.0625,-22.375,1.3125,0.710266,-0.028381,0.701904,0.045044,35.175806,-76.8283524
16:44:24,2.651613,86,23.2539,1016.342,0.484,-25.71288,63855.808143710994,9.773438,0.296875,-0.0625,-0.041016,0.003906,0,-40.125,-22.0625,-1.25,0.710388,-0.019043,0.702637,0.035889,35.175806,-76.8283518
16:44:25,2.687097,88,23.25333,1016.342,0.513,-25.71288,63855.68534569571,9.777344,0.332031,-0.0625,-0.041016,0.003906,0,-40.125,-22.0625,-1.25,0.710388,-0.019043,0.702637,0.035889,35.1758061,-76.8283515
16:44:26,2.641936,86,23.25275,1016.341,0.531,-25.70485,63855.5808837144,9.777344,0.371094,-0.101563,-0.033203,0.001953,0.001953,-40.125,-22.0625,-1.25,0.710388,-0.019043,0.702637,0.035889,35.1758062,-76.8283511
16:44:27,2.648387,86,23.25704,1016.339,0.561,-25.68579,63856.54608208767,9.777344,0.371094,-0.101563,-0.011719,0.005859,-0.001953,-39.6875,-23.0625,0,0.710388,-0.019043,0.702637,0.035889,35.1758062,-76.8283509
16:44:28,2.645161,86,23.25562,1016.34,0.578,-25.69683,63856.21967329902,9.773438,0.21875,-0.140625,0,0.001953,0,-40.0625,-23.0625,0.4375,0.710693,-0.003723,0.703186,0.021545,35.1758062,-76.8283505
16:44:29,2.648387,86,23.2696,1016.343,0.577,-25.71889,63859.16998348315,9.773438,0.140625,-0.101563,0,0.001953,0,-40.5,-24.5625,-2.625,0.71051,-0.004822,0.703247,0.02301,35.1758063,-76.82835
16:44:30,2.693548,89,23.27674,1016.342,0.576,-25.70987,63860.72868172687,9.773438,0.296875,-0.101563,0,0.001953,0,-39.125,-22.8125,-3.4375,0.710449,-0.010254,0.703125,0.028564,35.1758064,-76.8283496
16:44:31,2.63871,86,23.29415,1016.341,0.585,-25.70686,63864.49990031794,9.8125,0.371094,-0.101563,0,0.001953,0,-40.125,-23.0625,-1.25,0.710571,-0.012634,0.70282,0.030396,35.1758064,-76.8283492
16:44:32,2.654839,87,23.28588,1016.341,0.596,-25.69983,63862.718251349084,9.777344,0.21875,-0.101563,0.013672,-0.001953,0.003906,-40.125,-22.8125,-2.625,0.710693,-0.014587,0.702637,0.032166,35.1758064,-76.8283489
16:44:33,2.632258,85,23.29501,1016.342,0.616,-25.71388,63864.66468126933,9.773438,0.027344,-0.179688,0,0.001953,0.003906,-39.3125,-22.6875,2.625,0.710571,-0.01593,0.702637,0.033447,35.1758064,-76.8283486
16:44:34,2.632258,85,23.29215,1016.342,0.59,-25.71187,63864.04853684178,9.734375,0.449219,0.050781,-0.019531,0,-0.011719,-39.3125,-22.6875,2.1875,0.71051,-0.014709,0.702759,0.03302,35.1758064,-76.8283484
16:44:40,2.658065,87,23.29929,1016.341,0.547,-25.70284,63865.60723716196,9.8125,0.257813,-0.253906,-0.033203,-0.001953,-0.007813,-40.375,-23,2.5625,0.710815,0.014099,0.703186,0.00293,35.1758064,-76.8283469
16:44:41,2.635484,86,23.2953,1016.341,0.553,-25.70284,63864.74765077916,9.777344,0.257813,-0.410156,-0.068359,0.005859,0,-39.8125,-23.125,-3.875,0.710876,0.009277,0.703186,0.008362,35.1758064,-76.8283467
16:44:42,2.612903,84,23.29872,1016.339,0.551,-25.6878,63865.52542630533,9.507813,1.0625,-1.136719,-0.009766,0.001953,0.003906,-39.75,-22.75,-1.25,0.710876,0.000366,0.703064,0.017395,35.1758063,-76.8283465
16:44:43,2.66129,87,23.31528,1016.341,0.552,-25.70485,63869.0520457487,9.777344,0.140625,-0.179688,-0.007813,-0.001953,0.003906,-40.125,-23.0625,-1.25,0.711548,-0.004517,0.702271,0.023254,35.1758062,-76.8283465
